Geneid,N2,N2,R1,R2
ELF2,498,372,643,656
MGARP,0,8,0,2
NDUFC1,121,89,179,157
NAA15,636,432,1117,1029
RAB33B,265,172,70,50
SETD7,1229,1280,290,293
LOC105377622,0,0,0,0
MGST2,378,229,1288,1352
MAML3,321,136,719,732
SCOC,695,511,253,234
SCOC-AS1,7,2,3,2
CLGN,6,10,17,18
MGAT4D,0,0,0,0
ELMOD2,521,250,396,340
UCP1,2,0,9,25
TBC1D9,1095,724,1014,1089
TNRC18P1,2,2,12,16
RNF150,158,344,27,27
ZNF330,289,264,271,287
LINC02432,4,4,0,0
IL15,65,47,30,34
INPP4B,465,181,1647,1540
LOC105377623,6,1,0,1
USP38,487,333,393,433
GAB1,360,429,623,623
MIR3139,0,0,1,0
SMARCA5,1904,1106,2551,2514
SMARCA5-AS1,0,0,0,0
GUSBP5,15,7,0,2
FREM3,0,0,40,40
GYPE,6,3,48,40
LOC101927636,0,4,0,0
GYPB,0,0,11,4
GYPA,0,0,11,14
HHIP-AS1,13,7,0,0
HHIP,222,43,24,17
ANAPC10,66,69,170,170
ABCE1,963,542,755,735
OTUD4,914,569,1362,1363
SMAD1,345,296,395,328
SMAD1-AS2,0,0,0,0
SMAD1-AS1,0,0,0,0
MMAA,175,65,162,124
C4orf51,0,0,2,0
ZNF827,451,298,506,472
LINC01095,0,0,0,0
LSM6,101,59,156,167
SLC10A7,211,120,127,155
MIR7849,0,0,0,0
POU4F2,0,0,0,0
TTC29,0,0,0,0
MIR548G,0,0,0,0
EDNRA,286,424,35,50
TMEM184C,602,299,482,470
PRMT9,131,137,497,495
ARHGAP10,256,594,490,443
MIR4799,0,0,0,0
NR3C2,126,252,453,395
LINC02355,0,0,0,0
IQCM,1,0,0,1
DCLK2,50,144,116,110
LRBA,1324,352,6813,6657
MAB21L2,0,1,14,8
RPS3A,10960,7366,3575,3391
SNORD73A,0,0,0,0
SH3D19,1177,1978,1098,969
PRSS48,0,0,142,161
FHIP1A,243,35,286,240
GATB,133,141,129,81
LINC02273,0,12,0,0
FBXW7,331,249,424,422
FBXW7-AS1,0,0,1,0
MIR3140,0,0,0,0
MIR4453HG,63,29,0,0
MIR4453,0,0,0,0
TMEM154,493,133,359,309
TIGD4,14,3,6,2
ARFIP1,751,365,383,342
FHDC1,142,80,98,112
TRIM2,898,490,583,635
ANXA2P1,9,11,55,54
MND1,24,2,46,39
TMEM131L,367,297,226,193
TLR2,478,160,185,206
RNF175,45,20,10,6
SFRP2,3795,9562,2,6
DCHS2,9,20,13,26
PLRG1,446,419,555,580
FGB,0,1,0,0
FGA,1,3,0,0
FGG,0,0,0,0
LRAT,4,0,19,10
RBM46,0,0,2,0
NPY2R,0,0,0,0
MAP9,325,126,211,160
LOC102724776,0,0,0,0
GUCY1A1,700,438,69,43
GUCY1B1,283,370,37,59
ASIC5,0,0,0,0
TDO2,0,0,0,0
CTSO,0,0,0,0
PDGFC,289,298,95,106
GLRB,41,18,27,4
GRIA2,0,2,0,0
LINC02433,0,0,0,0
GASK1B,1497,1786,151,135
TMEM144,192,92,138,143
RXFP1,8,14,24,19
C4orf46,109,85,0,8
ETFDH,308,214,454,498
PPID,381,198,330,345
FNIP2,435,469,316,363
C4orf45,0,0,8,2
RAPGEF2,603,452,1458,1339
MIR3688-1,0,0,0,0
MIR3688-2,0,0,0,0
FSTL5,0,0,0,2
LOC101928052,0,0,0,0
MIR4454,0,0,0,0
NAF1,165,154,193,182
NPY1R,35,42,4,2
NPY5R,11,2,0,2
TKTL2,0,0,0,0
TMA16,234,160,212,236
MARCHF1,376,208,82,76
ANP32C,5,0,22,33
SMIM31,27,0,0,0
APELA,8,0,0,0
FAM218BP,0,0,0,0
TRIM61,29,12,0,2
FAM218A,8,2,4,2
TRIM60,0,0,0,0
TMEM192,290,159,163,175
KLHL2,365,290,527,578
GK3P,2,0,329,327
MSMO1,440,181,285,289
CPE,448,563,116,83
MIR578,0,0,0,0
LINC01179,0,0,0,0
LOC101928131,0,0,0,0
TLL1,102,138,44,32
SPOCK3,55,33,67,42
ANXA10,940,177,2997,3038
DDX60,731,318,1249,1220
DDX60L,437,164,1187,1187
PALLD,2251,7966,1012,932
CBR4,379,196,253,274
SH3RF1,429,235,472,421
NEK1,329,252,728,764
CLCN3,1992,803,1892,1979
HPF1,139,182,135,95
LINC02275,0,0,0,0
MFAP3L,1203,81,228,233
AADAT,82,68,441,339
APOBEC3AP1,0,0,0,0
LINC01612,33,4,0,0
LINC02431,0,0,0,0
MIR6082,0,0,0,0
GALNTL6,1,2,2,16
GALNTL6-AS1,0,0,0,0
GALNT7,743,338,872,825
MIR548T,0,0,0,0
HMGB2,700,420,393,397
SAP30,44,31,48,34
SCRG1,17,87,9,8
HAND2,33,222,10,9
HAND2-AS1,4,32,0,0
LINC02268,1,0,0,0
FBXO8,293,203,123,121
CEP44,316,181,205,201
MIR4276,0,0,0,0
HPGD,18402,3343,6853,6495
GLRA3,0,0,11,7
LOC101928551,0,0,0,0
ADAM29,0,0,6,0
GPM6A,46,76,0,5
LOC101928590,0,0,0,0
WDR17,31,49,67,60
SPATA4,0,1,2,2
ASB5,15,421,0,0
SPCS3,2206,1309,141,156
VEGFC,95,197,34,40
NEIL3,21,11,72,117
AGA,254,128,348,371
AGA-DT,4,3,0,0
LINC01098,0,0,0,0
LINC01099,0,0,0,0
LINC00290,0,0,0,0
TENM3-AS1,6,9,0,0
MIR1305,0,0,0,0
TENM3,88,107,16,12
DCTD,779,565,354,387
CIBAR1P2,0,0,0,0
WWC2-AS2,2,6,2,0
WWC2,333,325,455,481
WWC2-AS1,0,0,0,0
CLDN22,0,0,0,0
CLDN24,0,0,16,10
CDKN2AIP,310,262,161,198
LOC389247,1,1,0,0
ING2,90,51,163,156
RWDD4,189,143,151,179
TRAPPC11,653,425,1365,1366
STOX2,215,144,84,76
ENPP6,18,32,0,0
LINC02363,6,2,0,0
LINC02362,38,1,0,0
IRF2,733,514,490,501
CASP3,697,385,258,274
PRIMPOL,113,85,187,175
CENPU,116,46,238,209
ACSL1,1037,621,743,746
SLED1,0,0,0,0
MIR3945HG,16,1,0,0
MIR3945,0,0,0,0
LINC01093,2,0,0,0
MIR4455,0,0,0,0
HELT,0,0,0,0
SLC25A4,163,514,90,114
CFAP97,623,500,631,549
SNX25,200,207,414,448
LRP2BP,13,18,76,63
ANKRD37,16,11,15,17
UFSP2,309,237,284,276
C4orf47,4,6,14,4
CCDC110,4,34,2,0
PDLIM3,610,3497,54,55
NA,0,0,0,0
SORBS2,477,1656,515,471
TLR3,414,92,636,625
NA,0,0,0,2
FAM149A,124,141,148,148
RPSAP70,1,1,0,0
FLJ38576,2,2,0,0
CYP4V2,148,122,415,364
KLKB1,2,2,29,33
F11,0,0,0,0
F11-AS1,0,0,0,0
MTNR1A,7,9,18,8
FAT1,2278,908,16506,16040
LOC339975,3,0,0,0
LINC02492,0,0,0,0
ZFP42,0,0,0,0
TRIML2,0,0,0,0
TRIML1,0,0,0,0
LINC01060,0,0,0,0
LINC01262,0,0,0,0
FRG1,14,49,2,5
FRG2,0,0,0,0
DBET,0,0,0,3
DUX4,0,0,0,0
NA,0,0,0,0
PLEKHG4B,17,0,74,79
LRRC14B,0,2,0,2
CCDC127,137,133,96,79
SDHA,1002,851,1643,1735
HRAT5,0,7,0,0
PDCD6,467,292,568,527
AHRR,97,57,21,23
EXOC3-AS1,22,14,4,2
EXOC3,486,563,668,616
SLC9A3,28,37,26,18
PP7080,0,0,0,0
SLC9A3-AS1,32,35,1,3
MIR4456,0,0,0,0
LOC100996325,0,0,0,0
CEP72,39,16,53,60
TPPP,15,255,2,4
NA,7,2,0,1
ZDHHC11B,13,89,20,24
ZDHHC11,9,33,24,14
BRD9,342,317,816,767
TRIP13,62,33,66,70
LOC100506688,0,0,0,0
NKD2,2,4,0,0
SLC12A7,66,88,43,41
MIR4635,0,0,0,0
NA,4,0,0,0
CTD-3080P12.3,0,3,0,0
SLC6A19,0,0,0,0
SLC6A18,0,0,0,0
TERT,0,3,2,4
MIR4457,0,0,0,0
CLPTM1L,284,200,39,65
LINC01511,0,0,0,0
SLC6A3,0,0,0,0
LPCAT1,155,9,2,3
MIR6075,0,0,0,0
SDHAP3,38,36,253,244
LOC728613,27,30,58,35
MIR4277,0,0,0,0
MRPL36,89,60,24,16
NDUFS6,139,74,574,554
LINC02116,0,0,0,0
IRX4,0,1,0,0
CTD-2194D22.4,0,0,0,0
LOC100506858,0,0,0,0
IRX2,29,0,0,4
C5orf38,4,1,0,0
LOC105374620,0,0,0,0
LINC01377,0,0,0,0
LINC01019,0,1,0,0
LINC01017,0,0,0,0
IRX1,0,0,1,1
LINC02114,0,0,0,0
LINC01020,0,0,0,0
ADAMTS16-DT,0,4,0,0
ADAMTS16,9,92,0,4
ICE1,716,385,1287,1307
LINC02145,0,1,0,2
MED10,191,127,161,115
UBE2QL1,2,9,0,0
LINC01018,0,0,0,0
NSUN2,668,504,961,918
SRD5A1,130,68,46,35
LINC02102,0,2,0,0
TENT4A,294,365,353,378
MIR4278,0,0,0,0
LOC442132,0,0,0,0
LINC02123,0,0,0,0
ADCY2,27,89,8,6
C5orf49,2,0,2,0
MTRR,375,400,593,579
FASTKD3,104,64,211,207
LINC02226,0,0,0,0
MIR4458HG,24,35,0,0
MIR4458,0,0,0,0
LINC02199,0,0,0,0
SEMA5A,775,324,387,410
MIR4636,0,0,0,0
SEMA5A-AS1,0,0,0,0
SNHG18,57,58,0,0
SNORD123,3,1,0,0
TAS2R1,0,0,0,0
LINC02112,0,0,0,0
ATPSCKMT,191,113,83,90
CCT5,1232,1017,1733,1695
CMBL,173,216,27,20
MARCHF6,1693,900,3503,3451
ROPN1L-AS1,0,0,0,0
ROPN1L,1,1,0,0
NA,0,0,0,0
MIR6131,0,0,0,0
LINC02212,0,0,0,0
ANKRD33B,112,107,0,0
DAP,2189,1281,814,697
CTNND2,5,12,4,1
LINC01194,0,0,0,0
DNAH5,241,29,1559,1455
TRIO,1235,909,2844,2864
OTULINL,520,218,102,101
OTULIN,339,216,158,179
ANKH,446,475,259,298
LOC100130744,59,31,10,5
MIR4637,0,0,0,0
LINC02149,0,0,0,0
FBXL7,125,447,17,22
CTD-2350J17.1,0,0,0,0
MIR887,0,0,0,0
MARCHF11,0,1,0,0
LINC02150,0,0,0,0
ZNF622,209,160,74,84
RETREG1,50,41,42,49
RETREG1-AS1,0,2,0,0
MYO10,519,307,927,817
BASP1-AS1,0,1,0,0
BASP1,696,487,57,68
LINC02111,0,0,0,0
LINC02217,0,0,0,0
LINC02218,0,0,0,0
CDH18,0,1,0,0
GUSBP1,65,51,402,384
NA,0,0,671,626
CDH12,81,1,10,10
PMCHL1,0,0,0,0
PRDM9,0,0,0,0
CDH10,7,0,0,0
LINC02239,0,0,0,0
LINC02211,0,0,0,0
CDH9,0,0,0,0
PURPL,0,0,0,0
NA,0,0,0,0
LSP1P3,0,0,2,3
LOC101929645,0,0,0,0
LINC02109,0,0,0,0
LINC02064,0,0,0,0
NA,0,0,0,0
CDH6,179,135,101,131
DROSHA,552,380,2159,1993
C5orf22,318,167,233,279
PDZD2,74,85,161,205
MIR4279,0,0,0,0
GOLPH3,1467,1200,663,657
MTMR12,438,393,311,294
ZFR,1313,991,1287,1338
MIR579,0,0,0,0
SUB1,1281,932,670,751
NPR3,90,39,7,20
LINC02120,0,0,0,0
TARS1,697,646,779,756
ADAMTS12,145,158,26,39
RXFP3,0,0,0,0
SLC45A2,0,0,14,7
C1QTNF3-AMACR,0,1,16,15
AMACR,8,11,26,20
C1QTNF3,132,261,10,14
NA,0,2,0,0
RAI14,1102,881,952,937
TTC23L,19,1,31,26
RAD1,312,184,236,192
BRIX1,238,173,484,514
DNAJC21,724,448,980,885
AGXT2,0,0,3,6
PRLR,12,28,29,14
SPEF2,37,37,100,75
IL7R,1749,571,165,171
CAPSL,0,0,0,0
LOC100506406,0,0,0,0
UGT3A1,0,0,0,0
UGT3A2,6,2,2,0
LMBRD2,482,306,546,566
MIR580,0,0,0,1
SKP2,328,134,305,234
NADK2,339,423,368,355
RANBP3L,27,86,15,17
SLC1A3,189,158,103,123
NIPBL-DT,100,121,2,2
NIPBL,1349,681,7782,7266
CPLANE1,391,224,2396,2196
NUP155,256,175,1325,1425
WDR70,232,175,834,827
GDNF,10,17,2,6
GDNF-AS1,0,2,0,2
LINC02119,0,0,0,0
EGFLAM,117,119,78,65
EGFLAM-AS4,0,0,0,0
EGFLAM-AS2,0,0,0,0
LIFR,445,588,261,292
LIFR-AS1,5,7,0,0
MIR3650,0,0,0,0
OSMR-AS1,0,2,0,0
LINC01265,0,0,0,0
OSMR,1243,881,494,485
RICTOR,709,333,1871,1674
FYB1,1121,563,593,542
C9,0,2,11,9
DAB2,1181,1608,345,413
LINC02104,0,9,0,0
LINC00603,0,0,0,0
PTGER4,342,254,46,37
TTC33,276,204,64,75
PRKAA1,1682,885,1042,1021
NA,317,207,2,0
RPL37,2160,1036,5276,5001
SNORD72,1,0,1,4
CARD6,334,227,413,421
C7,442,1887,2,4
MROH2B,0,2,0,0
C6,6,15,0,2
PLCXD3,17,64,0,0
OXCT1,292,495,454,423
OXCT1-AS1,4,7,0,0
C5orf51,630,391,364,315
FBXO4,136,56,137,143
LOC101926960,0,1,0,0
GHR,86,178,69,49
NA,0,0,0,0
CCDC152,33,25,12,14
SELENOP,2167,2360,239,278
FLJ32255,118,95,2,0
LOC648987,36,44,0,0
ANXA2R,22,18,4,0
LOC153684,29,36,0,0
LOC100132356,9,19,18,6
LOC100506639,47,24,0,0
ZNF131,311,263,345,369
NIM1K,6,4,4,2
HMGCS1,438,343,491,541
CCL28,53,30,8,4
TMEM267,181,100,64,41
C5orf34,22,34,93,73
PAIP1,768,585,1123,1120
NNT-AS1,146,106,2,3
NNT,912,804,801,749
FGF10,80,89,2,6
FGF10-AS1,0,2,0,0
MRPS30-DT,24,20,0,0
MRPS30,194,111,280,218
HCN1,0,0,0,0
EMB,1100,405,281,249
PARP8,547,245,1493,1367
LINC02106,0,0,0,0
ISL1-DT,14,6,0,0
ISL1,26,17,0,0
PELO,218,222,18,42
ITGA1,801,1335,834,763
ITGA2,836,253,3589,3260
MOCS2,276,281,277,284
LOC257396,47,13,0,0
FST,82,175,26,31
NDUFS4,226,163,879,849
ARL15,351,336,67,56
MIR581,0,0,24,8
NA,0,0,0,0
LINC01033,0,0,0,0
HSPB3,4,13,0,0
SNX18,637,411,149,147
LOC102467080,0,0,0,0
ESM1,50,8,19,29
LOC102467081,0,2,0,0
GZMK,174,75,18,8
GZMA,149,63,56,58
CDC20B,0,0,7,5
GPX8,426,530,57,48
MIR449A,0,0,0,0
MIR449B,0,0,0,0
MIR449C,0,0,0,0
MCIDAS,3,0,2,2
CCNO,11,4,32,28
DHX29,556,406,1046,1166
MTREX,826,478,1584,1556
PLPP1,914,955,297,290
MIR5687,0,0,0,0
RNF138P1,1,1,140,136
SLC38A9,168,153,317,272
DDX4,0,0,0,2
IL31RA,4,10,0,0
IL6ST,5018,4561,1522,1352
FLJ31104,2,11,2,0
ANKRD55,4,2,4,4
LOC101928419,1,2,0,0
LINC01948,0,0,0,0
C5orf67,4,0,0,0
LOC105378979,0,1,0,0
MAP3K1,711,365,1557,1419
SETD9,60,32,48,43
MIER3,433,228,281,348
GPBP1,1101,856,939,844
ACTBL2,0,3,0,0
LINCR-0003,0,0,0,0
LOC101928505,0,0,0,0
LINC02225,0,0,0,0
LINC02101,0,2,0,0
PLK2,721,673,392,404
GAPT,208,60,2,6
MIR548AE2,0,0,0,0
LINC02108,0,0,0,0
RAB3C,52,63,0,0
PDE4D,577,735,1238,1252
MIR582,0,0,5,8
PART1,13,153,0,0
DEPDC1B,51,33,65,60
ELOVL7,176,208,69,78
ERCC8,74,65,314,298
NDUFAF2,121,93,200,178
SMIM15,736,431,289,260
SMIM15-AS1,0,0,0,0
LOC105378994,0,0,0,0
ZSWIM6,335,184,567,508
C5orf64,0,4,0,0
LOC101928651,0,0,0,0
C5orf64-AS1,0,0,0,0
KIF2A,673,310,1422,1425
DIMT1,337,276,370,394
IPO11,195,147,568,581
LRRC70,23,63,246,232
IPO11-LRRC70,0,0,0,0
HTR1A,0,0,16,4
RNF180,65,100,165,198
RGS7BP,47,55,10,19
SHISAL2B,0,0,8,6
SREK1IP1,410,234,338,316
CWC27,219,218,420,442
ADAMTS6,63,120,48,50
CENPK,35,20,193,134
PPWD1,337,234,796,835
TRIM23,187,181,228,274
TRAPPC13,269,216,394,320
SGTB,168,113,55,59
NLN,300,137,298,406
ERBIN,1720,964,4636,4530
LOC100303749,0,0,0,0
SREK1,927,476,2220,2178
LINC02065,0,0,0,0
LINC02229,0,0,0,0
MAST4,954,380,3908,3809
MAST4-AS1,4,6,0,0
CD180,293,149,15,12
LOC101928858,0,0,0,0
LINC02219,0,0,0,0
PIK3R1,1544,1033,1506,1480
LINC02198,10,2,0,0
SLC30A5,854,468,697,684
CCNB1,176,54,238,231
CENPH,56,32,68,71
MRPS36,96,30,108,68
CDK7,16,44,3,50
CCDC125,33,13,8,0
AK6,1,0,0,0
TAF9,0,0,0,0
RAD17,172,65,71,40
MARVELD2,16,0,0,0
LOC101928924,0,0,0,0
OCLN,7,6,4,4
GTF2H2C,13,2,12,88
NA,0,0,28,25
GUSBP3,1,7,1,0
SERF1B,3,0,63,4
SMN2,0,23,22,6
GUSBP14,3,1,41,79
GTF2H2B,53,11,31,34
GUSBP15,9,8,72,43
LOC441081,14,7,84,102
LOC101929599,0,0,25,10
SERF1A,8,4,0,0
SMN1,6,10,4,10
NAIP,8,5,45,10
GTF2H2,33,35,51,47
OCLNP1,3,2,5,2
GUSBP17,0,2,177,181
PMCHL2,0,0,0,0
BDP1,0,0,0,0
MCCC2,1466,347,1282,1272
CARTPT,0,0,0,0
MAP1B,957,1840,257,255
MIR4803,0,0,0,0
MRPS27,688,477,383,416
PTCD2,90,57,111,125
ZNF366,156,107,12,8
LOC102503427,0,0,0,0
LINC02056,0,2,0,0
TNPO1,2232,1238,1915,1805
MIR4804,0,0,0,0
FCHO2,649,556,1043,1079
NA,2,0,0,0
TMEM171,8,0,6,4
TMEM174,0,0,0,0
FOXD1,4,0,12,4
LINC01386,0,0,0,0
BTF3,3851,1935,2200,2177
ANKRA2,255,178,378,351
UTP15,159,124,219,224
ARHGEF28,342,136,1301,1240
LINC01335,0,0,0,0
LINC01333,0,0,0,0
LINC01331,0,0,0,0
ENC1,819,554,482,449
HEXB,1268,1077,1754,1750
GFM2,427,212,445,412
NSA2,839,453,579,522
FAM169A,277,40,156,123
GCNT4,246,63,90,68
NA,14,1,0,0
ANKRD31,5,4,27,30
HMGCR,531,327,692,696
CERT1,834,553,530,520
POLK,408,408,523,448
ANKDD1B,3,3,17,6
POC5,96,82,141,151
SV2C,8,0,4,4
IQGAP2,408,382,139,163
F2RL2,38,28,11,24
NCRUPAR,0,0,0,0
F2R,676,674,84,99
F2RL1,338,158,158,161
S100Z,4,3,0,0
CRHBP,8,20,2,0
AGGF1,662,379,1448,1489
ZBED3,23,16,0,0
SNORA47,0,2,1,1
ZBED3-AS1,9,2,0,0
PDE8B,71,66,234,196
WDR41,378,305,425,498
OTP,0,0,0,0
TBCA,475,267,1371,1364
NA,11,20,3,2
LOC101929154,0,0,0,0
AP3B1,905,517,1907,1738
SCAMP1-AS1,68,35,0,2
SCAMP1,1078,634,627,613
LHFPL2,924,908,69,62
ARSB,341,340,135,126
DMGDH,23,46,30,23
BHMT2,66,264,11,4
BHMT,110,1,27,30
JMY,553,370,393,377
HOMER1,194,99,342,354
NA,2,0,0,0
TENT2,735,505,1381,1437
CMYA5,594,126,2417,2389
MTX3,398,209,188,242
THBS4,97,163,42,20
THBS4-AS1,10,2,1,1
SERINC5,1528,484,1077,1013
LOC644936,1,0,0,0
SPZ1,0,0,0,0
CRSP8P,15,17,11,14
ZFYVE16,957,596,1542,1545
FAM151B,30,11,48,50
ANKRD34B,3,2,2,4
LINC01337,0,0,0,0
DHFR,264,178,92,97
MTRNR2L2,1,2,24,29
MSH3,346,210,2043,1960
RASGRF2-AS1,0,4,0,0
RASGRF2,153,132,155,138
CKMT2,10,27,124,87
CKMT2-AS1,70,55,0,1
ZCCHC9,226,185,168,203
ACOT12,0,1,2,0
SSBP2,210,270,263,239
ATG10,46,36,124,135
RPS23,4780,3052,3442,3238
ATP6AP1L,8,18,30,18
MIR3977,0,0,0,0
LINC01338,0,0,0,0
TMEM167A,1361,765,337,331
SCARNA18,0,0,14,20
XRCC4,93,61,105,76
VCAN,2946,1908,1583,1496
VCAN-AS1,3,6,0,5
HAPLN1,18,10,11,6
EDIL3,707,370,118,88
NBPF22P,0,0,193,237
COX7C,968,517,967,876
NA,0,0,1,0
LINC02059,0,0,0,0
MIR4280,0,0,0,0
LOC101929380,0,0,0,0
LINC01949,0,0,0,0
RASA1,795,516,4269,4066
LOC644285,9,4,0,12
CCNH,226,223,273,258
TMEM161B,168,89,587,575
TMEM161B-AS1,25,24,0,0
LINC02060,0,0,0,0
LINC00461,2,2,0,0
MIR9-2,0,0,0,0
MEF2C,801,903,201,184
MEF2C-AS1,2,6,0,0
MIR3660,0,0,0,0
LINC01339,0,0,1,0
CETN3,140,92,284,335
LOC731157,3,0,0,0
MBLAC2,113,103,28,27
POLR3G,30,33,19,6
LYSMD3,598,372,194,230
ADGRV1,201,38,115,150
LUCAT1,8,0,0,0
ARRDC3,1257,1617,682,583
ARRDC3-AS1,4,6,0,0
NR2F1-AS1,98,103,0,2
NR2F1,583,670,52,70
FAM172A,447,289,410,496
MIR2277,0,0,0,0
POU5F2,0,0,32,22
KIAA0825,50,45,225,241
SLF1,79,67,209,213
MCTP1,243,419,346,344
FAM81B,0,0,17,14
TTC37,1109,852,3205,2990
ARSK,119,117,28,21
GPR150,2,0,6,2
RFESD,8,8,16,5
SPATA9,1,0,6,4
RHOBTB3,994,730,608,663
GLRX,470,204,129,120
LINC01554,0,0,0,0
ELL2,1290,849,713,752
LOC101929710,1,3,0,0
MIR583,0,0,1,4
PCSK1,31,4,260,194
CAST,3364,2058,7170,6841
ERAP1,1739,758,4251,4184
ERAP2,2192,74,449,449
NA,0,0,0,0
LNPEP,435,151,1879,1742
LIX1,2,0,3,2
RIOK2,224,203,273,300
LINC01340,5,0,1,1
RGMB,306,308,70,107
RGMB-AS1,2,2,0,0
CHD1,699,419,1968,1965
LOC100289230,12,14,4,0
LOC100652833,0,0,18,14
LINC02113,0,0,0,1
LOC100133050,0,0,0,1
LOC441098,0,0,45,35
FAM174A,76,96,38,38
ST8SIA4,477,190,90,127
MIR548P,0,0,0,3
SLCO4C1,13,5,18,12
SLCO6A1,0,0,89,89
LINC00492,0,0,0,0
LINC00491,0,0,2,0
PAM,1536,2411,1102,1004
GIN1,91,65,83,84
PPIP5K2,735,439,1626,1562
MACIR,94,56,40,20
PDZPH1P,0,0,0,0
LINC02115,0,0,0,0
NUDT12,277,114,129,113
RAB9BP1,0,0,0,0
LINC01950,0,0,0,0
EFNA5,166,65,94,81
FBXL17,408,322,321,338
LINC01023,2,0,0,0
FER,93,81,483,428
PJA2,2066,2272,986,980
MAN2A1,1187,518,886,867
LINC01848,0,0,0,0
TMEM232,16,20,26,48
MIR548F3,0,0,0,0
SLC25A46,930,587,742,677
TSLP,34,56,4,2
WDR36,541,331,1528,1478
CAMK4,56,10,41,58
STARD4,211,232,25,27
STARD4-AS1,34,52,11,14
NREP,350,516,68,47
NREP-AS1,0,0,0,0
EPB41L4A,302,198,685,638
EPB41L4A-AS1,76,27,0,0
SNORA13,0,2,36,43
LOC101927023,0,0,0,0
EPB41L4A-DT,4,3,18,11
LINC02200,0,0,0,0
LOC102467216,0,0,0,0
APC,576,411,3065,3014
SRP19,263,184,591,507
REEP5,1806,1409,298,341
DCP2,717,249,543,508
MCC,1048,530,418,472
TSSK1B,0,0,12,2
YTHDC2,544,432,1249,1237
KCNN2,4,24,9,8
LOC101927078,0,0,0,0
LINC01957,0,0,0,0
TRIM36,20,19,12,16
PGGT1B,402,244,255,243
CCDC112,102,91,270,220
FEM1C,380,404,390,337
TMED7-TICAM2,0,0,0,0
TICAM2,0,0,0,0
LOC101927100,6,7,0,0
TMED7,1197,739,37,54
LOC102467217,0,0,0,0
CDO1,12,50,0,0
ATG12,454,382,196,157
AP3S1,550,539,456,405
LVRN,4,19,6,0
ARL14EPL,0,1,0,0
COMMD10,300,189,123,104
LOC101927190,4,0,0,2
SEMA6A,187,224,1141,1151
SEMA6A-AS1,4,4,0,0
LINC02214,0,0,0,0
LINC00992,5,0,0,0
LINC02147,0,2,0,0
LINC02148,0,0,0,0
LINC02208,0,2,0,0
LINC02215,0,0,0,0
DTWD2,198,86,98,125
MIR1244-2,59,27,132,88
DMXL1,816,466,2307,2201
MIR5706,0,0,0,0
TNFAIP8,677,343,186,152
HSD17B4,1932,997,3921,3740
FAM170A,0,0,0,2
PRR16,53,74,10,8
LOC102467226,0,0,0,0
FTMT,0,0,0,0
SRFBP1,166,98,238,234
LOX,390,693,22,31
ZNF474,3,3,8,8
LOC100505841,0,0,0,2
SNCAIP,202,253,319,246
MGC32805,4,1,2,0
LINC02201,0,0,0,0
SNX2,1118,892,914,857
SNX24,127,90,79,113
PPIC,346,551,113,93
PRDM6,97,314,12,6
CEP120,473,231,412,405
CSNK1G3,575,377,801,809
LINC01170,0,0,0,0
ZNF608,222,119,725,672
LOC101927421,0,0,0,0
LINC02240,0,0,0,0
LINC02039,0,0,0,0
LOC101927488,0,0,0,0
GRAMD2B,369,189,508,469
ALDH7A1,124,376,526,600
PHAX,463,306,243,217
TEX43,0,0,2,2
LMNB1,372,165,335,322
MARCHF3,31,25,17,24
C5orf63,81,14,39,52
LOC105379198,3,0,0,0
MEGF10,7,2,31,24
LOC105379199,0,0,0,0
PRRC1,937,709,694,603
CTXN3,2,0,0,0
LINC01184,139,93,1,0
SLC12A2,459,299,845,820
FBN2,51,53,94,92
SLC27A6,73,20,2,6
ISOC1,349,220,167,161
MIR4633,0,1,0,0
MIR4460,0,0,0,0
ADAMTS19-AS1,0,0,0,0
ADAMTS19,7,16,15,14
MINAR2,0,0,0,0
CHSY3,25,75,17,13
HINT1,992,616,755,809
LYRM7,317,151,53,43
CDC42SE2,1588,631,164,135
RAPGEF6,509,189,889,854
FNIP1,421,379,1071,1020
MEIKIN,0,1,0,0
ACSL6,31,10,0,6
IL3,0,0,0,0
CSF2,11,0,9,4
P4HA2-AS1,0,0,0,0
P4HA2,240,486,162,160
MIR6830,0,0,0,0
PDLIM4,37,112,6,4
SLC22A4,23,3,223,245
MIR3936HG,8,2,1,1
MIR3936,0,1,0,0
SLC22A5,200,63,624,675
IRF1-AS1,12,21,68,47
IRF1,911,607,762,752
NA,0,2,0,0
IL5,0,0,8,11
RAD50,1067,390,4487,4462
TH2LCRR,2,0,7,9
IL13,8,4,0,0
IL4,0,0,1,0
KIF3A,222,106,427,463
CCNI2,35,3,15,12
SEPTIN8,1985,814,504,495
SOWAHA,58,0,0,0
SHROOM1,653,258,232,211
GDF9,19,8,12,21
UQCRQ,286,144,289,290
LEAP2,170,1,73,47
AFF4,1957,938,2762,2645
NA,4,0,3,2
ZCCHC10,261,138,162,197
HSPA4,1339,760,1821,1829
FSTL4,260,82,321,235
MIR1289-2,0,0,4,0
C5orf15,1290,565,188,194
VDAC1,1550,952,885,886
NA,0,0,0,0
TCF7,376,158,131,131
SKP1,2076,1622,1844,1805
PPP2CA,1257,1011,811,803
MIR3661,0,0,0,0
CDKL3,23,20,85,80
UBE2B,738,645,923,891
CDKN2AIPNL,100,74,25,44
LOC102546229,0,0,0,0
LINC01843,0,2,0,0
JADE2,687,493,283,288
SAR1B,794,469,745,746
SEC24A,815,674,938,930
